component,verb_up,frequency,predic,log_freq,log_predic
encoder,roused up,9619,0.01519474036723913,9.171495588152615,-4.171494576169647
encoder,rowed up,9356,0.01904831708647887,9.143773127704069,-3.9415444497077705
encoder,rub up,72120,0.00106067444628918,11.186086677317254,-6.847789065748508
encoder,rubbed up,33783,0.00750117570154633,10.427712996365136,-4.8851660595118584
encoder,rubbing up,74199,0.01171545646370338,11.214505951975706,-4.435061620576101
encoder,ruffled up,9349,0.00912183884718846,9.143024664691316,-4.68792016967296
encoder,run up,3178218,0.00673174612768198,14.971831220327795,-4.994166208108852
encoder,rung up,96330,0.05662952895142782,11.475535075751669,-2.8129285077099584
encoder,running up,1449391,0.00572427111949847,14.186654026172054,-5.157299335466557
encoder,runs up,557986,0.00501385471542178,13.232089151442963,-5.290523789191695
encoder,rush up,127946,0.00397022551182523,11.759363578887461,-5.524954254130194
encoder,rushed up,244779,0.01517173328060786,12.408111041626897,-4.173033233503372
encoder,rushes up,45241,0.01720979277950269,10.719759034318209,-4.044917106986238
encoder,rushing up,103715,0.00778846728610945,11.549402031780247,-4.847292236681175
encoder,s up,99248,7.801644864662423e-5,11.5053770472129,-9.458512853929749
encoder,saddle up,123650,0.0164613600691204,11.725210272949562,-4.090141104664299
encoder,saddling up,30991,0.1747734334906751,10.341452118734878,-1.552167505351593
encoder,said up,226514,1.4592523012022e-4,12.330562032149583,-8.83227025402144
encoder,sail up,73516,0.00220976878555206,11.205258348585364,-6.112655176920485
encoder,sailed up,68358,0.01453120506030647,11.13251387992617,-4.2168190517416
encoder,sailing up,54940,0.00426907678611404,10.913996959649264,-5.452079469146783
encoder,sank up,5710,0.00132817106657253,8.649974302650056,-6.622623367166177
encoder,sat up,1348490,0.01836436279975414,14.11449600588741,-3.9788082157310334
encoder,sauntered up,21236,0.06534777163360198,9.963453133703561,-2.6604511712889285
encoder,save up,2833460,0.01562405536129534,14.85700913767551,-4.143196144728731
encoder,saved up,886454,0.01553120321069844,13.694984513697191,-4.149251092400318
encoder,saving up,908515,0.01880455585572894,13.719566677414038,-3.95467249599706
encoder,saw up,92182,4.0133894704563e-4,11.431520162719538,-7.820302813701144
encoder,say up,182643,2.696390993527e-4,12.11528870682436,-8.218156486710424
encoder,saying up,28647,1.4724501932041e-4,10.262804004618312,-8.82326530479288
