model,epoch,loss
OPT-350M,2.575,3.6869
OPT-350M,2.6,3.6322
OPT-350M,2.625,3.6456
OPT-350M,2.65,3.6255
OPT-350M,2.675,3.6388
OPT-350M,2.7,3.6614
OPT-350M,2.725,3.6037
OPT-350M,2.75,3.5833
OPT-350M,2.775,3.609
OPT-350M,2.8,3.6334
OPT-350M,2.825,3.6329
OPT-350M,2.85,3.5479
OPT-350M,2.875,3.5837
OPT-350M,2.9,3.5681
OPT-350M,2.925,3.5676
OPT-350M,2.95,3.5733
OPT-350M,2.975,3.5402
OPT-350M,3.0,3.5416
OPT-350M,3.025,3.5618
OPT-350M,3.05,3.5265
OPT-350M,3.075,3.5459
OPT-350M,3.1,3.5268
OPT-350M,3.125,3.5273
OPT-350M,3.15,3.4904
OPT-350M,3.175,3.5093
OPT-350M,3.2,3.4696
OPT-350M,3.225,3.4575
OPT-350M,3.25,3.4683
OPT-350M,3.275,3.4822
OPT-350M,3.3,3.4586
OPT-350M,3.325,3.4929
OPT-350M,3.35,3.4577
OPT-350M,3.375,3.4393
OPT-350M,3.4,3.4416
OPT-350M,3.425,3.4566
OPT-350M,3.45,3.4356
OPT-350M,3.475,3.4412
OPT-350M,3.5,3.423
OPT-350M,3.525,3.4301
OPT-350M,3.55,3.3931
OPT-350M,3.575,3.4349
OPT-350M,3.6,3.4174
OPT-350M,3.625,3.4214
OPT-350M,3.65,3.392
OPT-350M,3.675,3.3574
OPT-350M,3.7,3.3845
OPT-350M,3.725,3.3511
OPT-350M,3.75,3.3805
OPT-350M,3.775,3.3697
OPT-350M,3.8,3.3758
OPT-350M,3.825,3.3314
OPT-350M,3.85,3.3814
OPT-350M,3.875,3.3866
OPT-350M,3.9,3.3315
OPT-350M,3.925,3.3535
OPT-350M,3.95,3.3579
OPT-350M,3.975,3.3228
OPT-350M,4.0,3.3631
OPT-350M,4.025,3.3308
OPT-350M,4.05,3.3478
OPT-350M,4.075,3.2891
OPT-350M,4.1,3.3146
OPT-350M,4.125,3.2973
OPT-350M,4.15,3.2944
OPT-350M,4.175,3.3143
OPT-350M,4.2,3.2738
OPT-350M,4.225,3.3194
OPT-350M,4.25,3.2964
OPT-350M,4.275,3.2829
OPT-350M,4.3,3.2672
OPT-350M,4.325,3.2511
OPT-350M,4.35,3.2559
OPT-350M,4.375,3.2844
OPT-350M,4.4,3.2696
OPT-350M,4.425,3.2816
OPT-350M,4.45,3.2597
OPT-350M,4.475,3.2775
OPT-350M,4.5,3.241
OPT-350M,4.525,3.2693
OPT-350M,4.55,3.2815
OPT-350M,4.575,3.2282
OPT-350M,4.6,3.2235
OPT-350M,4.625,3.2247
OPT-350M,4.65,3.221
OPT-350M,4.675,3.201
OPT-350M,4.7,3.2142
OPT-350M,4.725,3.1993
OPT-350M,4.75,3.225
OPT-350M,4.775,3.2227
OPT-350M,4.8,3.2109
OPT-350M,4.825,3.2205
OPT-350M,4.85,3.2031
OPT-350M,4.875,3.1797
OPT-350M,4.9,3.1904
OPT-350M,4.925,3.1887
OPT-350M,4.95,3.1845
OPT-350M,4.975,3.1788
OPT-350M,5.0,3.1602
OPT-350M,5.025,3.1768
OPT-350M,5.05,3.1732
OPT-350M,5.075,3.1455
OPT-350M,5.1,3.1432
OPT-350M,5.125,3.1352
OPT-350M,5.15,3.1394
OPT-350M,5.175,3.1778
OPT-350M,5.2,3.1367
OPT-350M,5.225,3.1304
OPT-350M,5.25,3.176
OPT-350M,5.275,3.1254
OPT-350M,5.3,3.1039
OPT-350M,5.325,3.1367
OPT-350M,5.35,3.13
OPT-350M,5.375,3.1358
OPT-350M,5.4,3.0925
OPT-350M,5.425,3.0746
OPT-350M,5.45,3.0893
OPT-350M,5.475,3.0828
OPT-350M,5.5,3.0647
OPT-350M,5.525,3.1049
OPT-350M,5.55,3.0742
OPT-350M,5.575,3.0766
OPT-350M,5.6,3.0678
OPT-350M,5.625,3.1202
OPT-350M,5.65,3.0762
OPT-350M,5.675,3.0713
OPT-350M,5.7,3.0861
OPT-350M,5.725,3.0787
OPT-350M,5.75,3.0879
OPT-350M,5.775,3.0856
OPT-350M,5.8,3.0522
OPT-350M,5.825,3.0617
OPT-350M,5.85,3.0602
OPT-350M,5.875,3.0765
OPT-350M,5.9,3.0459
OPT-350M,5.925,3.0553
OPT-350M,5.95,3.044
OPT-350M,5.975,3.035
OPT-350M,6.0,2.9978
OPT-350M,6.025,3.0208
OPT-350M,6.05,3.0711
OPT-350M,6.075,3.021
OPT-350M,6.1,3.0275
OPT-350M,6.125,2.9963
OPT-350M,6.15,3.0142
OPT-350M,6.175,3.0075
OPT-350M,6.2,3.0393
OPT-350M,6.225,3.0396
OPT-350M,6.25,2.9862
OPT-350M,6.275,3.0419
OPT-350M,6.3,3.0078
OPT-350M,6.325,2.9888
OPT-350M,6.35,3.002
OPT-350M,6.375,2.9879
