verb_up,frequency,predic,log_freq,log_predic
exploring up,14558,3.955277596341e-4,9.585895949678203,-7.83489397851009
export up,17747,3.6721775677769e-4,9.783971766534565,-7.909188257951666
expose up,5171,3.6836400718206e-4,8.550821372396221,-7.906070526860676
exposed up,13351,2.6524930176116e-4,9.499346567390095,-8.234575128367236
express up,11295,1.1400751777381e-4,9.332115428902103,-9.079132152342657
extend up,205622,0.00441203320249063,12.23379481072969,-5.418997857178367
extended up,204216,0.00287487802082436,12.226933536197503,-5.848866014752276
extending up,158659,0.00904996913830414,11.9745125240503,-4.69590276254002
extends up,185335,0.00371881679764275,12.12992027732993,-5.590623977652294
extract up,17623,3.1864963578417e-4,9.77696014606437,-8.051099678785743
eye up,111713,7.8808970865512e-4,11.6236883614545,-7.145110230700504
eyed up,24762,0.00835726797460621,10.117065498980637,-4.776231316856806
eyeing up,181165,0.07204511245304929,12.10716349720096,-2.555690634391366
eying up,14064,0.05222952171216572,9.551373619924957,-2.898464476363647
f**k up,24161,0.06440837914065291,10.092495041920655,-2.6759353432429394
f*ck up,27964,0.02775781495054733,10.238673247631876,-3.556087514613797
f*cked up,52842,0.45949964782302455,10.875061608033514,-0.16235711329507782
fab up,16271,3.8731458215954e-4,9.69713966113932,-7.855885931732381
fabbed up,8678,0.24137739207832665,9.068546366358296,-1.1451427800594833
fabricated up,7063,0.00125066114342974,8.862625169408922,-6.682831508877472
face up,1785233,0.00606093288954444,14.395059496890173,-5.09981217368151
faced up,151396,0.00339922541416075,11.927654199557209,-5.6808026767725615
faces up,407940,0.0083901222137278,12.91887538374856,-4.772274674606462
facilitate up,17486,5.5232127498214e-4,9.769155839740836,-7.500828187239322
facing up,818774,0.01322130200889756,13.61556337847908,-4.312616480077806
facts up,22474,3.5725572727078e-4,10.020114364467847,-7.936701390175781
fade up,18830,0.001556865483267,9.843206621651198,-6.463522706023743
faded up,5025,7.2991354192252e-4,8.522180732927277,-7.221854286499967
fades up,6183,0.00194864686755725,8.729558869558568,-6.238669513399534
fall up,43892,2.510694461852e-4,10.68948735011069,-8.289529878102718
falling up,27357,5.7735269323096e-4,10.216727716601776,-7.45647970533678
falls up,22376,5.2044646845461e-4,10.015744234881796,-7.560302939639414
fancied up,17953,0.015570604142563,9.795512510870829,-4.146677392971828
fancy up,27641,0.00110787555993488,10.227055456677219,-6.804202517784726
farm up,82418,0.00128436323833198,11.31955913864352,-6.656207029084985
fast up,53538,2.3011021324182e-4,10.888146961128207,-8.376722039114416
fasten up,15851,0.0047913462561543,9.670987868797893,-5.33614098993059
fastened up,13809,0.0060439873071452,9.533075832485352,-5.1026290085202595
fatten up,84856,0.0734172922052528,11.348710981185306,-2.535343814311421
fattened up,33170,0.17550635992296132,10.409401131941099,-1.5470941471708404
fattening up,35121,0.05416388426654905,10.466554521147781,-2.860054970466293
feature up,115567,6.2303502942441e-4,11.65760572733889,-7.380284584555625
featured up,18113,3.4499458061568e-4,9.804385191492917,-7.971636795311703
features up,124935,4.2293367760126e-4,11.73554888103755,-7.7678721586124
featuring up,48775,0.00113039355610549,10.794973165491312,-6.784058394221048
fed up,3119833,0.11643604378110166,14.953290032712092,-2.0266215369069074
fee up,99249,0.0012956089457993,11.505387122931927,-6.647478016964212
feed up,80263,7.7140291570945e-4,11.29306402164216,-7.1665280318338995
feeding up,24345,8.1782382270909e-4,10.100081768616802,-7.108045461796401
feeds up,16143,0.00122193645022124,9.689241798157529,-6.706095740690669
feel up,346172,6.0990343556195e-4,12.754691040348295,-7.401599826183196
feeling up,218980,0.00130151323469212,12.296735680427416,-6.642925303843532
feels up,35079,3.556192489454e-4,10.465357939808428,-7.941294242400507
feet up,1238699,0.00900714607491823,14.029572193243991,-4.7006890527276886
fell up,23766,3.0033282654854e-4,10.07601126684997,-8.110318898497733
felt up,102082,5.2124546303725e-4,11.533531690863176,-7.55876810753574
fenced up,6716,0.00245524371474425,8.812248018197431,-6.007070987086343
