layer,log_predic,fit,panel
15,-7.21265387225509,12.83761345556324,OLMo-3 7B
16,-7.21265387225509,13.481379990013256,OLMo-3 7B
17,-7.21265387225509,14.090445520865181,OLMo-3 7B
18,-7.21265387225509,14.649824212312009,OLMo-3 7B
19,-7.21265387225509,15.145025601340302,OLMo-3 7B
20,-7.21265387225509,15.56155922493663,OLMo-3 7B
21,-7.21265387225509,15.884934620087554,OLMo-3 7B
22,-7.21265387225509,16.10066132377964,OLMo-3 7B
23,-7.21265387225509,16.19424887299946,OLMo-3 7B
24,-7.21265387225509,16.15349811511093,OLMo-3 7B
25,-7.21265387225509,15.986152784095719,OLMo-3 7B
26,-7.21265387225509,15.710225078959942,OLMo-3 7B
27,-7.21265387225509,15.343812062057026,OLMo-3 7B
28,-7.21265387225509,14.905010795740402,OLMo-3 7B
29,-7.21265387225509,14.411918342363496,OLMo-3 7B
30,-7.21265387225509,13.882631764279733,OLMo-3 7B
31,-7.21265387225509,13.335248123842543,OLMo-3 7B
0,-7.046561179689347,17.781539864237565,OLMo-3 7B
1,-7.046561179689347,16.467629872238213,OLMo-3 7B
2,-7.046561179689347,15.188336252649254,OLMo-3 7B
3,-7.046561179689347,13.97827537788108,OLMo-3 7B
4,-7.046561179689347,12.872063620344083,OLMo-3 7B
5,-7.046561179689347,11.904317352448654,OLMo-3 7B
6,-7.046561179689347,11.109652946605188,OLMo-3 7B
7,-7.046561179689347,10.522686775224075,OLMo-3 7B
8,-7.046561179689347,10.177844697935157,OLMo-3 7B
9,-7.046561179689347,10.086500527921377,OLMo-3 7B
10,-7.046561179689347,10.215257574935759,OLMo-3 7B
11,-7.046561179689347,10.525575303656398,OLMo-3 7B
12,-7.046561179689347,10.978913178761394,OLMo-3 7B
13,-7.046561179689347,11.536730664928841,OLMo-3 7B
14,-7.046561179689347,12.160487226836835,OLMo-3 7B
