layer,log_predic,fit,panel
11,-8.043117335083805,12.895900525948962,OLMo-3 7B
12,-8.043117335083805,13.574585173466353,OLMo-3 7B
13,-8.043117335083805,14.26843585439335,OLMo-3 7B
14,-8.043117335083805,14.954710131408282,OLMo-3 7B
15,-8.043117335083805,15.610665567189479,OLMo-3 7B
16,-8.043117335083805,16.21389844927683,OLMo-3 7B
17,-8.043117335083805,16.74979573702609,OLMo-3 7B
18,-8.043117335083805,17.211535061608878,OLMo-3 7B
19,-8.043117335083805,17.592632779058377,OLMo-3 7B
20,-8.043117335083805,17.88660524540777,OLMo-3 7B
21,-8.043117335083805,18.086968816690245,OLMo-3 7B
22,-8.043117335083805,18.187239848938976,OLMo-3 7B
23,-8.043117335083805,18.180934698187144,OLMo-3 7B
24,-8.043117335083805,18.06306605192794,OLMo-3 7B
25,-8.043117335083805,17.841670223324872,OLMo-3 7B
26,-8.043117335083805,17.531489307269617,OLMo-3 7B
27,-8.043117335083805,17.147320818337533,OLMo-3 7B
28,-8.043117335083805,16.703962271103986,OLMo-3 7B
29,-8.043117335083805,16.216211180144345,OLMo-3 7B
30,-8.043117335083805,15.69886506003397,OLMo-3 7B
31,-8.043117335083805,15.166721425348232,OLMo-3 7B
0,-7.877024642518062,10.037769877248625,OLMo-3 7B
1,-7.877024642518062,10.020915502796349,OLMo-3 7B
2,-7.877024642518062,10.018448487587701,OLMo-3 7B
3,-7.877024642518062,10.04475619086631,OLMo-3 7B
4,-7.877024642518062,10.114225971875806,OLMo-3 7B
5,-7.877024642518062,10.241245189859814,OLMo-3 7B
6,-7.877024642518062,10.440201204061966,OLMo-3 7B
7,-7.877024642518062,10.725481373725888,OLMo-3 7B
8,-7.877024642518062,11.111377046814223,OLMo-3 7B
9,-7.877024642518062,11.600562206290283,OLMo-3 7B
10,-7.877024642518062,12.173148184085617,OLMo-3 7B
11,-7.877024642518062,12.80665400754515,OLMo-3 7B
12,-7.877024642518062,13.478598704013807,OLMo-3 7B
13,-7.877024642518062,14.166501300836511,OLMo-3 7B
