layer,log_freq,fit,panel
11,10.975465405979824,11.599140134367076,Encoder
0,11.108477242783895,14.016648310701548,Encoder
1,11.108477242783895,13.81245386618654,Encoder
2,11.108477242783895,13.606458019771765,Encoder
3,11.108477242783895,13.396865561815778,Encoder
4,11.108477242783895,13.182630545935458,Encoder
5,11.108477242783895,12.96416220645598,Encoder
6,11.108477242783895,12.742053725545825,Encoder
7,11.108477242783895,12.517283693344789,Encoder
8,11.108477242783895,12.291216107963951,Encoder
9,11.108477242783895,12.065123686880893,Encoder
10,11.108477242783895,11.839338821168486,Encoder
11,11.108477242783895,11.613709733835876,Encoder
0,11.241489079587968,13.988697871462756,Encoder
1,11.241489079587968,13.783798010800332,Encoder
2,11.241489079587968,13.577296367715352,Encoder
3,11.241489079587968,13.367598345237868,Encoder
4,11.241489079587968,13.153978786166785,Encoder
5,11.241489079587968,12.937401114670187,Encoder
6,11.241489079587968,12.719016883763588,Encoder
7,11.241489079587968,12.49984244386734,Encoder
8,11.241489079587968,12.280758942806619,Encoder
9,11.241489079587968,12.06254980869831,Encoder
10,11.241489079587968,11.845199109895361,Encoder
11,11.241489079587968,11.628279329510542,Encoder
0,11.37450091639204,13.960747423399097,Encoder
1,11.37450091639204,13.755142161559103,Encoder
2,11.37450091639204,13.54813473142461,Encoder
3,11.37450091639204,13.33833114339053,Encoder
4,11.37450091639204,13.125327029275354,Encoder
5,11.37450091639204,12.910640012918503,Encoder
6,11.37450091639204,12.695980028742929,Encoder
7,11.37450091639204,12.482401188444046,Encoder
8,11.37450091639204,12.270301780989753,Encoder
9,11.37450091639204,12.059975937017127,Encoder
10,11.37450091639204,11.851059401596444,Encoder
11,11.37450091639204,11.642848921272085,Encoder
0,11.507512753196112,13.932796966242245,Encoder
1,11.507512753196112,13.726486318649716,Encoder
2,11.507512753196112,13.518973111378912,Encoder
3,11.507512753196112,13.309063956721651,Encoder
4,11.507512753196112,13.096675275348632,Encoder
5,11.507512753196112,12.883878900897885,Encoder
6,11.507512753196112,12.672943160081305,Encoder
7,11.507512753196112,12.464959926894112,Encoder
8,11.507512753196112,12.259844622614919,Encoder
9,11.507512753196112,12.057402072035018,Encoder
10,11.507512753196112,11.85691969636217,Encoder
11,11.507512753196112,11.657418509001532,Encoder
0,11.640524590000185,13.90484649972387,Encoder
1,11.640524590000185,13.697830482258992,Encoder
2,11.640524590000185,13.48981150805764,Encoder
3,11.640524590000185,13.279796785679133,Encoder
4,11.640524590000185,13.068023524474123,Encoder
5,11.640524590000185,12.85711777830534,Encoder
6,11.640524590000185,12.649906277376205,Encoder
7,11.640524590000185,12.447518659036756,Encoder
8,11.640524590000185,12.249387467783684,Encoder
9,11.640524590000185,12.054828213949664,Encoder
10,11.640524590000185,11.862779994282967,Encoder
11,11.640524590000185,11.671988092579896,Encoder
0,11.773536426804256,13.876896023564951,Encoder
1,11.773536426804256,13.669174652513707,Encoder
2,11.773536426804256,13.460649921851076,Encoder
3,11.773536426804256,13.250529630633428,Encoder
4,11.773536426804256,13.03937177671608,Encoder
5,11.773536426804256,12.830356644877904,Encoder
6,11.773536426804256,12.626869380301141,Encoder
7,11.773536426804256,12.430077384766511,Encoder
8,11.773536426804256,12.238930316653232,Encoder
9,11.773536426804256,12.052254362993034,Encoder
10,11.773536426804256,11.868640295465504,Encoder
11,11.773536426804256,11.686557671888036,Encoder
0,11.906548263608329,13.848945537155696,Encoder
1,11.906548263608329,13.640518827682657,Encoder
2,11.906548263608329,13.43148835039487,Encoder
3,11.906548263608329,13.221262489560027,Encoder
4,11.906548263608329,13.010720031420735,Encoder
5,11.906548263608329,12.803595501592417,Encoder
6,11.906548263608329,12.60383247088202,Encoder
7,11.906548263608329,12.412636106308087,Encoder
8,11.906548263608329,12.228473171100743,Encoder
9,11.906548263608329,12.049680520457688,Encoder
10,11.906548263608329,11.874500600518626,Encoder
11,11.906548263608329,11.701127246801889,Encoder
0,12.039560100412402,13.820995039500165,Encoder
1,12.039560100412402,13.611863003865677,Encoder
2,12.039560100412402,13.402326788108942,Encoder
3,12.039560100412402,13.191995357638572,Encoder
4,12.039560100412402,12.982068287096086,Encoder
5,12.039560100412402,12.776834350872956,Encoder
6,12.039560100412402,12.580795553890791,Encoder
7,12.039560100412402,12.395194828606293,Encoder
8,12.039560100412402,12.218016035011285,Encoder
9,12.039560100412402,12.047106688874273,Encoder
10,12.039560100412402,11.880360910637375,Encoder
11,12.039560100412402,11.715696817191649,Encoder
0,12.172571937216475,13.793044529580582,Encoder
1,12.172571937216475,13.58320717703987,Encoder
2,12.172571937216475,13.373165229231244,Encoder
3,12.172571937216475,13.16272822989049,Encoder
4,12.172571937216475,12.9534165422027,Encoder
5,12.172571937216475,12.750073195225506,Encoder
6,12.172571937216475,12.55775863425479,Encoder
7,12.172571937216475,12.377753556759883,Encoder
8,12.172571937216475,12.207558912383538,Encoder
9,12.172571937216475,12.044532870843499,Encoder
10,12.172571937216475,11.886221227049976,Encoder
11,12.172571937216475,11.730266382927182,Encoder
0,12.305583774020546,13.765094006379165,Encoder
1,12.305583774020546,13.554551343182355,Encoder
2,12.305583774020546,13.34400366799974,Encoder
3,12.305583774020546,13.133461101337263,Encoder
4,12.305583774020546,12.924764795201147,Encoder
5,12.305583774020546,12.723312037156033,Encoder
6,12.305583774020546,12.534721716901368,Encoder
7,12.305583774020546,12.360312295867597,Encoder
8,12.305583774020546,12.197101807216185,Encoder
9,12.305583774020546,12.041959068966069,Encoder
10,12.305583774020546,11.892081550984658,Encoder
11,12.305583774020546,11.744835943878348,Encoder
0,12.438595610824619,13.737143468878129,Encoder
