component,verb_up,frequency,predic,log_freq,log_predic,r,vif
encoder,cheer up,466328,0.02118192688272539,13.05264452817358,-3.8331974834074756,0.306847430018338,1.1039420443905608
encoder,cheered up,113100,0.03794333057900315,11.636027662104212,-3.232979610774347,0.306847430018338,1.1039420443905608
encoder,cheering up,120773,0.02333888722053261,11.701668029567008,-3.7340187779577048,0.306847430018338,1.1039420443905608
encoder,chew up,162438,0.0237108628735047,11.998051669486072,-3.717825497372182,0.306847430018338,1.1039420443905608
encoder,chewed up,305184,0.15335617381411573,12.628670152378639,-1.7085169446558628,0.306847430018338,1.1039420443905608
encoder,chewing up,107839,0.01907983527212018,11.588394653106107,-3.9398590422864945,0.306847430018338,1.1039420443905608
encoder,chin up,364599,0.0390622924207374,12.806553398491177,-3.2027519729989797,0.306847430018338,1.1039420443905608
encoder,choke up,73026,0.01659454397499615,11.198570821102612,-4.081947537954724,0.306847430018338,1.1039420443905608
encoder,choked up,339996,0.1402188181641594,12.736689131817258,-1.8134737278430901,0.306847430018338,1.1039420443905608
encoder,chop up,322382,0.03871076818628124,12.683492456790479,-3.2121575242777314,0.306847430018338,1.1039420443905608
encoder,chopped up,551932,0.03605024560296108,13.22118012926512,-3.28612549470743,0.306847430018338,1.1039420443905608
encoder,chopping up,151457,0.04451883666736427,11.928057035261824,-3.0663026540448315,0.306847430018338,1.1039420443905608
encoder,churned up,79630,0.08996103533707427,11.28514618525149,-2.3141107810199184,0.306847430018338,1.1039420443905608
encoder,churning up,41487,0.019632515576066,10.633135404132767,-3.910740335833437,0.306847430018338,1.1039420443905608
encoder,circle up,31347,7.4544735985193e-4,10.35287384770222,-7.200780311435887,0.306847430018338,1.1039420443905608
encoder,clamber up,49805,0.06218691159357317,10.815870659579266,-2.7134061099967104,0.306847430018338,1.1039420443905608
encoder,clambered up,54301,0.1894952470023311,10.902297921958713,-1.4532932630109336,0.306847430018338,1.1039420443905608
encoder,clambering up,36990,0.1529726063653808,10.5184028848265,-1.7114741740838355,0.306847430018338,1.1039420443905608
encoder,clean up,12109268,0.04313042217084725,16.30948166778988,-3.0994385009096024,0.306847430018338,1.1039420443905608
encoder,cleaned up,3899201,0.19180406751233847,15.17628221831591,-1.4383301505522827,0.306847430018338,1.1039420443905608
encoder,cleaning up,4296989,0.06200117209497432,15.273425102828327,-2.7165954098131917,0.306847430018338,1.1039420443905608
encoder,cleans up,540693,0.02926128768650456,13.200606929105417,-3.501791937696267,0.306847430018338,1.1039420443905608
encoder,clear up,2890922,0.00932051322277661,14.87708604035087,-4.666173363975122,0.306847430018338,1.1039420443905608
encoder,cleared up,1375176,0.07030585574870064,14.134092280891508,-2.582000562990982,0.306847430018338,1.1039420443905608
encoder,clearing up,599805,0.041784144407808733,13.304359881374339,-3.132556124396927,0.306847430018338,1.1039420443905608
encoder,clears up,446464,0.1164474331116611,13.009114048948488,-2.026510835197917,0.306847430018338,1.1039420443905608
encoder,click up,38785,2.6767412900867e-4,10.565788852924973,-8.22547254387874,0.306847430018338,1.1039420443905608
encoder,clicking up,13326,4.7443814095298e-4,9.497472293122483,-7.652904764491329,0.306847430018338,1.1039420443905608
encoder,climb up,2469114,0.09496995564734748,14.719369939800888,-2.2544075560913592,0.306847430018338,1.1039420443905608
encoder,climbed up,955909,0.09111018318988628,13.770417999218328,-2.300154294831306,0.306847430018338,1.1039420443905608
encoder,climbing up,1043241,0.04680863741561866,13.857842771529455,-3.013747937632755,0.306847430018338,1.1039420443905608
encoder,climbs up,329018,0.07554571907668435,12.703867739497104,-2.5044655731765744,0.306847430018338,1.1039420443905608
encoder,clog up,340549,0.05493957516281876,12.738314300238784,-2.845014919187092,0.306847430018338,1.1039420443905608
encoder,clogged up,255515,0.07005287790760636,12.451036395317498,-2.585877371006189,0.306847430018338,1.1039420443905608
encoder,clogging up,304076,0.1784760080200219,12.625032949143566,-1.5267069588044924,0.306847430018338,1.1039420443905608
encoder,close up,2712846,0.00882824149784028,14.81350882629976,-4.720931993764326,0.306847430018338,1.1039420443905608
encoder,closed up,769262,0.00693688726790342,13.553186892672626,-4.96394106623271,0.306847430018338,1.1039420443905608
encoder,closes up,86331,0.00797837463177958,11.365944024621301,-4.823010196325653,0.306847430018338,1.1039420443905608
encoder,closing up,307197,0.00700550966367273,12.63524451458297,-4.9540281812575575,0.306847430018338,1.1039420443905608
encoder,clutter up,164201,0.0173655573506201,12.008846566115903,-4.035748389797082,0.306847430018338,1.1039420443905608
encoder,cluttered up,37703,0.01461258605527613,10.53749494586695,-4.211151661558261,0.306847430018338,1.1039420443905608
encoder,cluttering up,195982,0.35916373139415975,12.185778097260709,-0.5789956322764868,0.306847430018338,1.1039420443905608
encoder,cocked up,33149,0.03872193888874611,10.40876782924649,-3.2118573769464334,0.306847430018338,1.1039420443905608
encoder,code up,138000,5.1269728828497e-4,11.835008964139341,-7.575312139513371,0.306847430018338,1.1039420443905608
encoder,coil up,26784,0.00263168340880034,10.195559973289201,-5.937496405789076,0.306847430018338,1.1039420443905608
encoder,coiled up,65955,0.04575645398061378,11.09672797028302,-3.037586075809492,0.306847430018338,1.1039420443905608
encoder,colored up,22256,0.00106922635304743,10.010366914163225,-6.839750128175634,0.306847430018338,1.1039420443905608
encoder,coloured up,12120,0.00140292700114746,9.402612259623305,-6.567790597734338,0.306847430018338,1.1039420443905608
encoder,come up,46625776,0.07093136328935513,17.657664079221387,-2.572469923205426,0.306847430018338,1.1039420443905608
encoder,comes up,8991560,0.02283613780686584,16.01179691753404,-3.756310085010501,0.306847430018338,1.1039420443905608
encoder,coming up,19257169,0.07056700159637888,16.773393964953012,-2.5780120853322197,0.306847430018338,1.1039420443905608
encoder,conjure up,920002,0.494290155212144,13.732131122935904,-0.022840372051674062,0.306847430018338,1.1039420443905608
encoder,conjured up,458789,0.4428811519047338,13.036345688361441,-0.22947713504471398,0.306847430018338,1.1039420443905608
encoder,conjures up,647030,0.5666223256359756,13.380147940259706,0.2680834144348374,0.306847430018338,1.1039420443905608
encoder,conjuring up,216864,0.34720294330959023,12.28702570793584,-0.6313568348689955,0.306847430018338,1.1039420443905608
encoder,connect up,307606,0.00215632835924957,12.636575022275144,-6.137189680740574,0.306847430018338,1.1039420443905608
encoder,connected up,104360,9.7723716307077e-4,11.555601739250665,-6.929803474174816,0.306847430018338,1.1039420443905608
encoder,connecting up,64861,0.00202375955685902,11.080001797565458,-6.200772520506725,0.306847430018338,1.1039420443905608
encoder,connects up,34037,0.0019604292451325,10.43520344719362,-6.232629473696924,0.306847430018338,1.1039420443905608
encoder,continued up,251690,0.00225513417327053,12.435953450497049,-6.092288126638128,0.306847430018338,1.1039420443905608
encoder,continues up,137963,0.00141349570326014,11.834740812247807,-6.5602749249922265,0.306847430018338,1.1039420443905608
encoder,cook up,761650,0.00443811363301511,13.543242411564847,-5.413077858948903,0.306847430018338,1.1039420443905608
encoder,cooked up,704835,0.02371327551816048,13.465719011848982,-3.7177212785913984,0.306847430018338,1.1039420443905608
encoder,cooking up,671943,0.01054362422699812,13.417928794479174,-4.541634338366076,0.306847430018338,1.1039420443905608
encoder,cooped up,522210,0.9283436263372904,13.165825084814864,2.5615198454145696,0.306847430018338,1.1039420443905608
encoder,corked up,3075,0.02031566916180522,8.031060180240619,-3.875837940192457,0.306847430018338,1.1039420443905608
encoder,cost up,836664,0.00211428971857307,13.637177835183781,-6.156919825364947,0.306847430018338,1.1039420443905608
encoder,cough up,529948,0.033049660428191,13.180534167507341,-3.3761358472289964,0.306847430018338,1.1039420443905608
encoder,coughed up,262268,0.2508133541174558,12.477122160700096,-1.094279092484728,0.306847430018338,1.1039420443905608
encoder,coughing up,313610,0.08169407689939184,12.655905454705088,-2.4195490836037408,0.306847430018338,1.1039420443905608
encoder,count up,352602,0.00238773608818277,12.773095221079565,-6.03501901411961,0.306847430018338,1.1039420443905608
encoder,counted up,78368,0.0051512844720732,11.269170959751895,-5.263344585272398,0.306847430018338,1.1039420443905608
encoder,counting up,128529,0.00604269505450009,11.763909838789152,-5.102844139458151,0.306847430018338,1.1039420443905608
encoder,cover up,4126526,0.02089242352590843,15.232946448734152,-3.8472549380068255,0.306847430018338,1.1039420443905608
encoder,covered up,1424880,0.0138439446373573,14.169598157612667,-4.265966686507999,0.306847430018338,1.1039420443905608
encoder,covering up,1113220,0.02583367630256465,13.922767274695982,-3.629903128782456,0.306847430018338,1.1039420443905608
encoder,covers up,422093,0.00676356029398981,12.952980947885152,-4.989419320032415,0.306847430018338,1.1039420443905608
encoder,cozying up,157851,0.9391867770955304,11.969406829094357,2.7372071227652803,0.306847430018338,1.1039420443905608
encoder,crack up,202245,0.00374612717742889,12.217235112736285,-5.583279563857011,0.306847430018338,1.1039420443905608
encoder,cracked up,473807,0.04452870752871768,13.068555344764,-3.0660706245384564,0.306847430018338,1.1039420443905608
encoder,cracking up,303098,0.03653242668998843,12.621811464541775,-3.272338563528911,0.306847430018338,1.1039420443905608
encoder,crank up,502992,0.05967842192081437,13.128329544382833,-2.757251407898965,0.306847430018338,1.1039420443905608
encoder,cranked up,370099,0.32876268173714374,12.821525816398157,-0.7137865945520806,0.306847430018338,1.1039420443905608
encoder,cranking up,168907,0.12930283474573026,12.037103546578885,-1.9071370207953409,0.306847430018338,1.1039420443905608
encoder,crawl up,171519,0.02143690330927875,12.052449326623698,-3.8209713772647786,0.306847430018338,1.1039420443905608
encoder,crawled up,139360,0.05904897090134847,11.84481579208633,-2.7685239819801284,0.306847430018338,1.1039420443905608
encoder,crawling up,152446,0.03365023585582443,11.93456571396132,-3.357505778208143,0.306847430018338,1.1039420443905608
